Resume,Category
Python developer with machine learning and data analysis skills,Python Developer
Java developer with spring boot and microservices experience,Java Developer
Data scientist skilled in pandas numpy and machine learning,Data Scientist
Frontend developer with react javascript and css skills,Frontend Developer
Machine learning engineer with tensorflow pytorch and python experience,ML Engineer
Backend developer skilled in Node.js Express and MongoDB,Backend Developer
Android developer with Kotlin and Firebase experience,Android Developer
Cloud engineer experienced in AWS Docker and Kubernetes,Cloud Engineer
DevOps engineer skilled in CI/CD Jenkins and Linux,DevOps Engineer
Cybersecurity analyst with network security and penetration testing skills,Cybersecurity Analyst